Number of Iterations: 216
X Poses,Y Poses
Iteration 77,"[[-1.2577082640127413, -0.6470843054832959, -0.9545316515575988, 0.34991299828260874, 0.07413137048452391], [-0.35132019548841487, -0.5160280987620477, 0.481848872998157, 0.34193811847863836, -0.4119733373078183]]"
Iteration 78,"[[-1.256961811991071, -0.6432591804982174, -0.9531422869503128, 0.35649906845142, 0.08010631660159691], [-0.3517392830383026, -0.5166616790544655, 0.4817028866200014, 0.34180941485380373, -0.41437163251972137]]"
Iteration 79,"[[-1.256204764901443, -0.6393759820130992, -0.9517636317238651, 0.3630686087639171, 0.0860834638555659], [-0.3521742417144154, -0.5171840125909575, 0.48153177856724666, 0.3416987492014057, -0.41673924403143264]]"
Iteration 80,"[[-1.2553947314448333, -0.6354967733002929, -0.9503954482338749, 0.3696461644193986, 0.09207301325199294], [-0.3526172157816579, -0.5175897129297412, 0.48135917157735136, 0.3415838951634528, -0.41909778452274754]]"
Iteration 81,"[[-1.2545669160309751, -0.6316085524873253, -0.9489880438255418, 0.37622080365975413, 0.09806461132640662], [-0.35303651279725423, -0.5179959710123209, 0.4811861047548561, 0.3414746676193195, -0.42142549542196517]]"
Iteration 82,"[[-1.2537291298793996, -0.6277220452609459, -0.9475598821200321, 0.38277950649427783, 0.10405725555466841], [-0.3534105935837613, -0.5183591144165194, 0.48103924408034904, 0.3413843348571769, -0.42371841374450003]]"
Iteration 83,"[[-1.2528806491529465, -0.6238466546790361, -0.9461031446296586, 0.3893410388627455, 0.11005778993480438], [-0.3537949972500348, -0.5186945499716789, 0.4808601040012552, 0.34129636668415114, -0.4259896929101642]]"
Iteration 84,"[[-1.252054324866083, -0.6200094322947598, -0.9446537651945917, 0.39590983612411157, 0.11607117729265959], [-0.3541542479356934, -0.518984241893517, 0.48068712139866215, 0.34120603348835393, -0.4282503601490285]]"
Iteration 85,"[[-1.2512104338296353, -0.6161484681901186, -0.9431585486878794, 0.4024803993395355, 0.1220916660935451], [-0.3544794548926028, -0.5193083515693545, 0.4805235169502894, 0.34111784335811335, -0.43048954123966904]]"
Iteration 86,"[[-1.2503544680753733, -0.612338905316227, -0.9417078750635987, 0.40902974453827834, 0.12811222460104607], [-0.35479285024849644, -0.5196025624915116, 0.4803800419140837, 0.34105421069314945, -0.4326919563841479]]"
Iteration 87,"[[-1.249452996454861, -0.608463506338386, -0.9402243427519097, 0.41558589656179745, 0.1341459432520249], [-0.3551281453428433, -0.5198488674129573, 0.4802054084922145, 0.3409902457649561, -0.4348834845241455]]"
Iteration 88,"[[-1.248544819893107, -0.6046073756669018, -0.9387568955124461, 0.42214974133963995, 0.14019249326548552], [-0.3554824583621871, -0.5199791520491154, 0.4800078474146629, 0.3409242335893395, -0.43706516045732846]]"
Iteration 89,"[[-1.2476578348716503, -0.6007218923001432, -0.9372959426514853, 0.42869755267396387, 0.1462419635746757], [-0.35581914536902626, -0.5200493413079763, 0.47980879176598334, 0.34087846221522083, -0.4392178112773418]]"
Iteration 90,"[[-1.2467937259473976, -0.5968827599588116, -0.9358432186883674, 0.43524473428635657, 0.15229745518987847], [-0.3561240344288868, -0.5201254684291442, 0.47962620809061735, 0.34083985734769673, -0.4413467495583999]]"
Iteration 91,"[[-1.2458753806248375, -0.5930438322363153, -0.9343836873584487, 0.4417928072802731, 0.15836186986949616], [-0.35640479343425546, -0.5202584588871572, 0.47947335643030237, 0.34080701112161765, -0.4434577083295113]]"
Iteration 92,"[[-1.2448741164751103, -0.589193031801158, -0.9329046821860436, 0.4483367426606442, 0.16443240091714023], [-0.35673621990696774, -0.5202941807304133, 0.47928089392844425, 0.34078470920728454, -0.4455454953745735]]"
Iteration 93,"[[-1.243896873370842, -0.5853681233080639, -0.9313912306245538, 0.4548815031603808, 0.17050931792320304], [-0.35703788417936133, -0.5203076379705723, 0.4790858032772986, 0.34076863236982957, -0.44761046102292085]]"
Iteration 94,"[[-1.2429508509623826, -0.5815379375131774, -0.9298277534244034, 0.4614321616121187, 0.1765937531243489], [-0.3573286998278023, -0.520296318470599, 0.47886121932267434, 0.3407537562437177, -0.44965477650915353]]"
Iteration 95,"[[-1.2420353398034758, -0.5777526630458995, -0.9283162929564048, 0.46796765421965464, 0.18268035777557448], [-0.3576106637246694, -0.5202404581337007, 0.47864483833206356, 0.3407597406313094, -0.4516679576949812]]"
Iteration 96,"[[-1.2410454991661848, -0.5739407354503264, -0.9267892005960225, 0.474511131230304, 0.1887771006254169], [-0.3579619287952441, -0.5200508119302558, 0.478372374016512, 0.34076606703132667, -0.4536645708036923]]"
Iteration 97,"[[-1.2400115197518422, -0.5700511534722852, -0.925192695520094, 0.4810537196065535, 0.1948794231801119], [-0.3582997494011263, -0.5198915068281632, 0.4780937724868699, 0.3407803078391947, -0.45563655966334865]]"
Iteration 98,"[[-1.23900655166333, -0.5661416423795497, -0.9236079826933691, 0.48758214620800777, 0.2009860065865871], [-0.35861578017168627, -0.5197578316019535, 0.47782223537572033, 0.34081531761447076, -0.4575810866526083]]"
Iteration 99,"[[-1.2380300139083213, -0.5622884133553993, -0.9220344115229322, 0.49410526769824537, 0.20709476048175435], [-0.3589122935712544, -0.5196542467434352, 0.4775555934047431, 0.34086428651269796, -0.4594935143652531]]"
Iteration 100,"[[-1.2370498596564845, -0.5584268587721076, -0.9205201984967158, 0.5005948965698593, 0.21320326058914252], [-0.359232940836766, -0.519533792949117, 0.4772805332984651, 0.3409547428300873, -0.46136807705962973]]"
Iteration 101,"[[-1.236061957384531, -0.5545463747356948, -0.9190168376320698, 0.5070131095404622, 0.2193253285196908], [-0.35955579183917036, -0.5193704460964079, 0.47700223604759334, 0.34112651985671494, -0.4632291898675489]]"
Iteration 102,"[[-1.235065504817167, -0.5506300446222966, -0.9175191045429956, 0.5132695967764962, 0.2254438265316357], [-0.3598696872124414, -0.5191593829977332, 0.4767304051312676, 0.34137502783425555, -0.46504636663113275]]"
Iteration 103,"[[-1.2340894101888178, -0.546738003799803, -0.9159759355654012, 0.5193600205706789, 0.23157614548568992], [-0.36010070746273826, -0.518956926292198, 0.4765082824284191, 0.34161090794039844, -0.4668494362523375]]"
Iteration 104,"[[-1.2331022697726417, -0.5428180274458196, -0.9144089864374716, 0.5253164299132906, 0.2377216594217168], [-0.3603362912070978, -0.5186241823107012, 0.4762697610623318, 0.34183041723983576, -0.4686388961198393]]"
Iteration 105,"[[-1.232060246155452, -0.5389150106130315, -0.9128465110141247, 0.5311474701703777, 0.24386980058317614], [-0.36055162249319844, -0.5183543291906234, 0.4760650531006876, 0.3420625294994482, -0.4703970653994005]]"
Iteration 106,"[[-1.2310107834398505, -0.5350427374105284, -0.9112514026538734, 0.5368897594388898, 0.2500187565252791], [-0.36075181344145707, -0.5180355990513223, 0.4758602321892755, 0.34230178270573586, -0.4721198375961205]]"
Iteration 107,"[[-1.2299596437135958, -0.5311747108493625, -0.909675069381365, 0.5424797459956892, 0.25616484335379247], [-0.3609843706888185, -0.5176742118765226, 0.47562401637767526, 0.34258790128810646, -0.4737993969827127]]"
Iteration 108,"[[-1.2288983839149337, -0.5273058873546275, -0.9080616226101116, 0.5479357736516777, 0.26231973536156605], [-0.3611933916073206, -0.5173159143710226, 0.47539426615384295, 0.3428779169642887, -0.47545434888849647]]"
Iteration 109,"[[-1.2278157275959565, -0.5234583972075089, -0.9064025469299614, 0.5533003141859054, 0.2684816426401344], [-0.36136548178278305, -0.5168973090701412, 0.47518560704274115, 0.3431610286147564, -0.47708205166171935]]"
Iteration 110,"[[-1.2267329085862124, -0.5195891571673187, -0.9048087319338155, 0.5584883244955212, 0.27465991282921426], [-0.36157406406537157, -0.5163305656198893, 0.4749597451823268, 0.3434431250091342, -0.4786988349464624]]"
Iteration 111,"[[-1.225605716422888, -0.5156810159753079, -0.9032172645142635, 0.5635447309147958, 0.2808473717740245], [-0.3617635469779892, -0.5157719809079632, 0.47476498081462604, 0.34373066029425725, -0.48029452823867147]]"
Iteration 112,"[[-1.2244751196907626, -0.5117450850120121, -0.901642529728178, 0.5684734628901275, 0.28703621099018506], [-0.36196499793941983, -0.515235075105306, 0.47456046549261105, 0.3440454438385038, -0.48185654795192023]]"
Iteration 113,"[[-1.2233401158518487, -0.5078001719760793, -0.9000740201402184, 0.5732486672408009, 0.2932164186390873], [-0.3621522097731499, -0.514801620561316, 0.4743688689870872, 0.3444253559000409, -0.4833671460539527]]"
Iteration 114,"[[-1.222241408410053, -0.5038768766962471, -0.898557935594309, 0.5778441344307468, 0.2993997373235072], [-0.36233401188490866, -0.5144319689429853, 0.47418393666738545, 0.3448429000562769, -0.48484301871551694]]"
Iteration 115,"[[-1.221130651848754, -0.4999632704671028, -0.8970510119243246, 0.5823729452421587, 0.30558860946614774], [-0.362518736630931, -0.5140329428123785, 0.47399589377391793, 0.3452553335721856, -0.4862876421574948]]"
Iteration 116,"[[-1.2199903071209626, -0.49601182039641445, -0.8955010313984983, 0.5868004055137765, 0.3117897224564128], [-0.36273377487286645, -0.5137634217481937, 0.47376823711014826, 0.34566181102721494, -0.4877118599212984]]"
